epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,22.6454,1.03006,0.87804,1.10801,0.88545,0.9,0.95192,0.74432,0.69224,1.00572,1.09846,0.0011684,0.0011684,0.0011684
44,23.0979,0.95718,0.88114,1.24581,0.81782,1,0.97833,0.85112,0.61396,0.9065,1.04514,0.0011486,0.0011486,0.0011486
45,23.5253,0.98713,0.87535,1.17175,0.99782,1,0.995,0.87487,0.58242,0.73183,1.04672,0.0011288,0.0011288,0.0011288
46,24.069,1.2293,1.13366,1.45504,0.99171,1,0.995,0.85503,0.61586,0.68577,1.0802,0.001109,0.001109,0.001109
47,24.5013,0.91408,0.87909,1.13265,0.99281,1,0.995,0.85119,0.6399,0.73355,1.07147,0.0010892,0.0010892,0.0010892
48,24.9349,0.87735,0.84502,1.16111,0.99064,1,0.995,0.85774,0.64162,0.77735,1.07962,0.0010694,0.0010694,0.0010694
49,25.3565,0.87657,0.78355,1.17175,0.99352,1,0.995,0.84836,0.70376,0.83226,1.11446,0.0010496,0.0010496,0.0010496
50,25.7792,0.82183,0.75796,1.1016,1,0.98194,0.995,0.82651,0.64203,0.79533,1.11735,0.0010298,0.0010298,0.0010298
51,26.1996,0.76766,0.69992,1.01767,1,0.99651,0.995,0.81567,0.70991,0.85052,1.12541,0.00101,0.00101,0.00101
52,26.6416,0.82965,0.75516,1.10035,0.98388,1,0.995,0.8055,0.62947,0.90002,1.07983,0.0009902,0.0009902,0.0009902
53,27.0624,0.7642,0.7097,1.01985,0.98995,1,0.995,0.83519,0.59748,0.77971,1.06052,0.0009704,0.0009704,0.0009704
54,27.4992,0.8162,0.74416,1.12501,0.99239,1,0.995,0.84172,0.61579,0.67559,1.06411,0.0009506,0.0009506,0.0009506
55,27.9392,0.92018,0.76998,1.15722,0.9928,1,0.995,0.82561,0.6105,0.61752,1.06092,0.0009308,0.0009308,0.0009308
56,28.3804,0.82656,0.69204,1.01212,1,0.99631,0.995,0.83464,0.58241,0.64211,1.04581,0.000911,0.000911,0.000911
57,28.8095,0.7065,0.66235,1.06944,1,0.98994,0.995,0.87695,0.5799,0.65723,1.04884,0.0008912,0.0008912,0.0008912
58,29.317,0.75414,0.69542,1.10257,1,0.99673,0.995,0.89522,0.55742,0.64031,1.03487,0.0008714,0.0008714,0.0008714
59,29.8507,0.86989,0.81441,1.18303,0.99265,1,0.995,0.90355,0.52782,0.58611,1.02876,0.0008516,0.0008516,0.0008516
60,30.3825,0.85974,0.71082,1.10147,0.9918,1,0.995,0.86782,0.52824,0.51492,1.03572,0.0008318,0.0008318,0.0008318
61,30.8209,0.77194,0.63311,1.042,0.99216,1,0.995,0.84139,0.59346,0.53886,1.07322,0.000812,0.000812,0.000812
62,31.2579,0.70724,0.62996,1.08354,0.99131,1,0.995,0.87316,0.59136,0.50521,1.07349,0.0007922,0.0007922,0.0007922
63,31.7042,0.70499,0.65568,1.02286,0.99354,1,0.995,0.85926,0.54381,0.481,1.03645,0.0007724,0.0007724,0.0007724
64,32.1237,0.92224,0.82976,1.15564,0.98847,1,0.995,0.86101,0.5564,0.47,1.03612,0.0007526,0.0007526,0.0007526
65,32.55,0.77935,0.78943,1.08698,0.98106,1,0.995,0.8455,0.57621,0.45483,1.04796,0.0007328,0.0007328,0.0007328
66,32.9921,0.66137,0.58134,0.98438,0.90894,0.99837,0.98591,0.84287,0.53734,0.53326,1.02192,0.000713,0.000713,0.000713
67,33.419,0.73084,0.70942,1.07896,0.90871,0.99577,0.96773,0.83805,0.51515,0.55113,1.0116,0.0006932,0.0006932,0.0006932
68,33.8607,0.83105,0.76285,1.12867,0.90881,0.99695,0.97682,0.8534,0.49608,0.54879,1.00717,0.0006734,0.0006734,0.0006734
69,34.3038,0.81113,0.65684,1.03644,0.94007,1,0.995,0.88543,0.49975,0.53189,1.01146,0.0006536,0.0006536,0.0006536
70,34.7375,0.7986,0.61009,1.0363,0.98872,1,0.995,0.88243,0.52076,0.50249,1.03426,0.0006338,0.0006338,0.0006338
71,35.1778,0.71818,0.61817,1.02129,0.99335,1,0.995,0.88575,0.53082,0.49608,1.03716,0.000614,0.000614,0.000614
72,35.6208,0.67498,0.59116,1.01732,0.9926,1,0.995,0.87012,0.54477,0.49734,1.03757,0.0005942,0.0005942,0.0005942
73,36.0586,0.80092,0.60843,1.11457,0.9919,1,0.995,0.8984,0.54094,0.49716,1.02546,0.0005744,0.0005744,0.0005744
74,36.4846,0.83022,0.65736,1.07075,0.97201,1,0.995,0.87887,0.52161,0.49366,1.01367,0.0005546,0.0005546,0.0005546
75,36.9079,0.7584,0.62418,1.07071,0.98792,1,0.995,0.86419,0.51877,0.48466,1.01667,0.0005348,0.0005348,0.0005348
76,37.3244,0.73931,0.62267,1.00043,0.98548,1,0.995,0.87936,0.53498,0.48823,1.01202,0.000515,0.000515,0.000515
77,37.7546,0.77214,0.71257,1.09977,0.9832,1,0.995,0.87936,0.53226,0.4805,1.00539,0.0004952,0.0004952,0.0004952
78,38.1908,0.77503,0.59673,1.22615,0.99386,1,0.995,0.90471,0.50788,0.44753,0.99733,0.0004754,0.0004754,0.0004754
79,38.7332,0.68853,0.50813,0.92847,0.99451,1,0.995,0.90897,0.51269,0.41132,0.99429,0.0004556,0.0004556,0.0004556
80,39.2456,0.70443,0.56876,1.06972,0.99474,1,0.995,0.89171,0.53033,0.41249,0.99245,0.0004358,0.0004358,0.0004358
81,39.6661,0.65937,0.59236,1.02696,0.99481,1,0.995,0.87412,0.56473,0.41349,0.99948,0.000416,0.000416,0.000416
82,40.0849,0.71662,0.59962,1.05003,0.99481,1,0.995,0.86895,0.57402,0.40877,0.99892,0.0003962,0.0003962,0.0003962
83,40.5074,0.67489,0.55148,0.99205,0.99484,1,0.995,0.87071,0.56909,0.39432,0.9956,0.0003764,0.0003764,0.0003764
84,40.9611,0.862,0.65586,1.10212,0.99483,1,0.995,0.86936,0.56441,0.37972,0.99191,0.0003566,0.0003566,0.0003566
85,41.3845,0.58469,0.53555,1.00305,0.99475,1,0.995,0.87714,0.55124,0.38518,0.98721,0.0003368,0.0003368,0.0003368
86,41.8167,0.6686,0.5718,1.03301,0.99484,1,0.995,0.87979,0.52892,0.39701,0.9806,0.000317,0.000317,0.000317
87,42.2592,0.71742,0.62019,0.99559,0.9948,1,0.995,0.88605,0.51583,0.39505,0.97747,0.0002972,0.0002972,0.0002972
